title,date,views,likes,comments,team_score,opponent_score
"FONSECA DEAL OFF THIS IS BEYOND EMBARRASSING, GATTUSO IN?? | EXPRESSIONS REACTS",2021-06-17,98178,5447,930,,
PAULO FONSECA TO BE NEW TOTTENHAM MANAGER? LEVY`= CONMAN MCGREGOR 🤬🤬 PATRICI SIGNS! | EXPRESSIONS,2021-06-10,118503,5250,745,,
ANTONIO CONTE TO TOTTTENHAM? LEVY WILL END UP DELIVERING US ANTONIO BANDERAS INSTEAD😑😔| EXPRESSIONS,2021-06-04,75110,3467,343,,
WE NEED TO SELL THEM ALL🤬 I HAVE HAD ENOUGH! Tottenham Hotspur CLEAR OUT with EXPRESSIONS OOZING,2021-06-01,104598,5362,631,,
MAURICIO POCHETTINO RETURNING TO TOTTENHAM?? EXPRESSIONS REACTS,2021-05-28,86356,3797,480,,
"WE WIN AND LOSE AT THE SAME TIME, WORST LUCK EVER 🤬!! Leicester vs Tottenham 2-4 EXPRESSIONS REACTS",2021-05-23,122135,5576,870,2.0,4.0
Leicester City vs Tottenham LIVE WITH EXPRESSIONS OOZING,2021-05-23,106518,3166,202,,
NUNO TO TOTTENHAM? HARRY KANE TO CITY?😭 CONFERENCE LEAGUE? 🤬 WE ARE FINISHED!| EXPRESSIONS REACTS,2021-05-22,82402,3580,552,,
BEYOND EMBARRASSING WE WON’T MAKE EUROPA LEAGUE!! 🤬 Tottenham (1) vs Aston Villa (2) EXPRESSIONS,2021-05-19,178173,7930,1151,,
THE FINAL STRAW 🤬🤬 Tottenham (1) vs Aston Villa (2) LIVE WITH EXPRESSIONS OOZING,2021-05-19,143868,3693,326,,
HARRY KANE LEAVING TOTTENHAM? EXPRESSIONS REACTS,2021-05-18,145696,6302,987,,
DELE PERFORMS TWICE IN A WEEK ON AND OFF THE FIELD PEP IS FUMING!| Spurs vs Wolves 2-0 EXPRESSIONS,2021-05-16,42378,2129,193,0.0,2.0
Tottenham (2) vs Wolves (0) LIVE WITH EXPRESSIONS OOZING,2021-05-16,58839,2043,39,,
