title,date,views,likes,comments
IM SCARED OF WHAT THE SCORE WILL BE AGAINST CHELSEA😭 Rennes (2) vs Tottenham (2) EXPRESSIONS REACTS,2021-09-16T19:57:13Z,79004,3385,498
THE FOOTBALL WAS TERRIBLE!! Rennes (2) vs Tottenham (2) EUROPA Conference LEAGUE LIVE EXPRESSIONS,2021-09-16T18:53:23Z,61456,2236,104
SPURS DESTROYED BY PALACE 😭RONALDO RUNS WILD AT HOME@Rants N Bants OLE OUT! BANTS SPORTS OOZ EP5,2021-09-14T15:13:52Z,44941,2133,404
3 GOALS BY CRYSTAL METH FC FOR BREAKFAST EMBARASSING!🤬 Crystal Palace 3 Tottenham 0 EXPRESSIONS,2021-09-11T15:02:40Z,142709,6565,903
I CAN’T BELIEVE IT!! Crystal Palace 3  vs Tottenham 0 LIVE WATCH ALONG With EXPRESSIONS,2021-09-11T13:39:03Z,119098,3712,381
"RANTS DOUBLES DOWN ON CR7, SALAH WANTS 500K, SPURS INJURIES😭BANTS SPORTS OOZ EP 4 @James Redmond TV",2021-09-09T15:00:31Z,43811,2380,1022
"SPURS TOP,🤥  CITY PEPPER ARSENAL 😁, @Rants N Bants UNHAPPY WITH CR7😔 SIGNING BANTS SPORTS OOZ EP 3",2021-09-01T15:04:35Z,57579,3022,631
"HEUNG MIN SON 손흥민 IN A MILLION, WE ARE TOP OF THE LEAGUE 😁😁 Tottenham (1) vs Watford (0) EXPRESSIONS",2021-08-29T17:32:37Z,58479,2675,244
NORTH LONDON IS TOP SOUTH LONDON IS BOTTOM Tottenham (1) vs Watford (0) EXPRESSIONS REACTS,2021-08-29T15:40:19Z,72461,3560,491
ARSENAL ABSOLUTELY EMBARRASSING THEMSELVES AGAIN!! Man City (5) Arsenal (0) BANTS SPORTS OOZ EXTRA,2021-08-28T14:56:47Z,96985,5781,515
HARRY CLASS A CO-KANE TURNS PACO INTO TACOS! Tottenham (3) vs Pacos De Ferreira (0) EXPRESSIONS,2021-08-26T21:28:25Z,37272,2148,198
Tottenham 3 vs Pacos De Ferriera 0 EUROPA CONFERENCE LEAGUE LIVE With EXPRESSIONS,2021-08-26T20:47:31Z,50961,1729,60
HARRY KANE IS STAYING AT TOTTENHAM 😁 I'M DRINKING THE MEDIA’S TEARS NDOMBELE LEAVING? EXPRESSIONS,2021-08-26T14:45:01Z,38098,2459,262
"ARSENAL PUT IN A SPLIFF AGAIN😂 , UNITED DRAW, SPURS STEAL ONE .BANTS SPORTS OOZ EP 2 @Rants N Bants",2021-08-24T13:20:18Z,51017,2869,364
"WE STEAL 3 POINTS,  ARTETA OUT TRENDING ARSENAL ARE IN THE MUD Wolves 0 Spurs 1 Arsenal 0 Chelsea 2",2021-08-22T18:24:23Z,82019,4383,411
Wolves 0 vs Tottenham 1 LIVE WITH EXPRESSIONS,2021-08-22T16:13:19Z,59054,2433,46
WWE SUMMERSLAM LIVE WATCH ALONG WITH EXPRESSIONS @CarefreeLewisG @TroopzTV,2021-08-22T04:39:35Z,48831,1831,79
SHOCKING DISPLAY 😭SENIOR PLAYERS DIDNT SHOW UP! Pacos de Ferreria 1 vs Tottenham 0 EXPRESSIONS,2021-08-19T21:00:15Z,93740,4695,684
"SHE WAS THE TALLEST GIRL EVER, I WENT OUT WITH THE STATUE OF LIBERTY😭 THE EX FILES WITH EXPRESSIONS",2021-08-19T11:05:56Z,47445,3773,334
"ARSENAL IN TURMOIL 😂, SPURS TURN OVER MAN CITY, UNITED ON FIRE BANTS SPORTS OOZ EP 1 @Rants N Bants",2021-08-17T12:21:34Z,77553,4958,646
"SONALDO, SON PERIGNON ,SON HEUNG MESSI, 손흥민  ABSOLUTE SCENES  Tottenham 1 vs Man City 0 EXPRESSIONS",2021-08-15T19:40:42Z,175126,8291,767
PREMIER LEAGUE CHAMPIONS PUT IN A SPLIFF!! Tottenham (1) vs Man City (0) EXPRESSIONS REACTS,2021-08-15T18:37:29Z,117424,8009,813
HARRY KANE TO MAN CITY 150 MILLION? 😕😔 CITIZEN KANE? Tottenham vs Man City EXPRESSIONS REACTS,2021-08-13T12:50:27Z,45719,2570,349
"ARSENAL PUT IN A PRE SEASON SPLIFF , MARTINEZ TO SPURS? Tottenham (1) vs Arsenal (0) EXPRESSIONS",2021-08-08T16:01:10Z,87906,4456,535
Tottenham (1) vs Arsenal (0)  LIVE WITH EXPRESSIONS OOZING PRE SEASON UNFRIENDLY,2021-08-08T15:09:32Z,93794,2528,105
IF WE GO INTO NEXT SEASON WITH THIS DEFENCE WE WILL BE RELEGATED | Chelsea 2 vs Spurs 2 EXPRESSIONS,2021-08-04T21:08:08Z,102941,4965,657
Chelsea vs Tottenham LIVE WITH EXPRESSIONS OOZING | PRE SEASON UNFRIENDLY,2021-08-04T20:48:53Z,106667,2641,74
"HARRY KANE DOESN’T TURN UP TO TRAINING, I HOPE HE’S ISOLATING😭😭 EXPRESSIONS REACTS",2021-08-02T10:53:31Z,113083,5366,755
WE HAVE NO BACK LIKE A KITCHEN APRON AND WE SELL OUR BEST DEFENDER WE ARE IN TROUBLE! EXPRESSIONS,2021-07-29T16:01:12Z,72171,3763,457
FINALLY WE ARE GETTING RID OF DEADWOOD AND SORTING OUT OUR PARALYTIC DEFENCE! EXPRESSIONS REACTS,2021-07-24T12:16:45Z,71318,3610,335
"FOOTBALL DIDN'T COME HOME IT WENT TO A CASA 😭, DANNY INGZAGHI TO SPURS, EXPRESSIONS WINS A PS5",2021-07-14T13:54:27Z,67552,3445,284
NUNO ESPIRITO SANTO APPOINTED NEW TOTTENHAM MANAGER! MY SEAT BELT IS ON! | EXPRESSIONS REACTS,2021-07-01T12:22:09Z,117036,6062,660
"NO MANAGER, EVERYONE LAUGHING AT US THIS IS BEYOND A JOKE!!🤬 KANE TO MAN CITY? EXPRESSIONS REACTS",2021-06-25T14:40:59Z,96638,5002,692
"FONSECA DEAL OFF THIS IS BEYOND EMBARRASSING, GATTUSO IN?? | EXPRESSIONS REACTS",2021-06-17T15:33:30Z,98178,5447,930
PAULO FONSECA TO BE NEW TOTTENHAM MANAGER? LEVY`= CONMAN MCGREGOR 🤬🤬 PATRICI SIGNS! | EXPRESSIONS,2021-06-10T14:57:44Z,118503,5250,745
