title,date,views,likes,comments,team_score,opponent_score
TEN HAG United WARNING! RONALDO On The MOVE? Man Utd News,2022-04-10,200655,5523,654.0,,
DISGRACEFUL UNITED! RONALDO In TROUBLE? Man Utd News,2022-04-09,205113,5518,648.0,,
RANGNICK & PLAYERS PATHETIC! Everton 1-0 Manchester United | RYAN'S FAN VLOG,2022-04-09,22935,349,175.0,0.0,1.0
WAN-BISSAKA WAS SO POOR! Everton 1-0 Manchester United | GRAHAM'S FAN VLOG,2022-04-09,23978,385,115.0,0.0,1.0
DISRESPECTING THE BADGE! Everton 1-0 Manchester United | LIVE Fan's Forum,2022-04-09,132393,2577,348.0,0.0,1.0
TEN HAG PLEASE HURRY UP! Everton 1-0 Manchester United | ADAM'S FAN VLOG,2022-04-09,54724,1299,286.0,0.0,1.0
GOLDBRIDGE! EVERTON 1-0 MANCHESTER UNITED Match Reaction,2022-04-09,396331,10507,1105.0,0.0,1.0
EVERTON vs MANCHESTER UNITED LIVE GOLDBRIDGE Watchalong!,2022-04-09,559722,10137,425.0,,
MAN UNITED LAST CHANCE SALOON! Everton vs Manchester United | Adam’s Road Trip,2022-04-09,27731,971,125.0,,
TEN HAG's UNITED WARNING! Man Utd News,2022-04-08,166136,5197,306.0,,
RANGNICK PRESS CONFERENCE REACTION! EVERTON vs MANCHESTER UNITED,2022-04-08,78260,2707,140.0,,
TEN HAG's TRANSFER LIST Man Utd News,2022-04-08,155219,5372,449.0,,
Ten Hag's Starting Eleven! Man Utd News,2022-04-07,144593,3455,234.0,,
EVERTON vs MAN UTD! TEN HAG Watching! RONALDO Returns!,2022-04-07,149221,4926,303.0,,
TEN HAG's 200 Million Transfer Budget! Man Utd News,2022-04-07,205021,6202,565.0,,
TEN HAG DEAL DONE! Man Utd News,2022-04-06,350459,13804,803.0,,
UNITED Target NEW CDM! ANTI TEN HAG SPIN Continues! Man Utd News,2022-04-06,116891,3386,237.0,,
RANGNICK JOB OFFER! POCH Impressed UNITED! Man Utd News,2022-04-06,141887,4324,410.0,,
UNITED Ask EX PLAYERS For TEN HAG Thoughts! Man Utd News,2022-04-05,129366,3685,335.0,,
POGBA To PSG! BRUNO vs POGBA Head to Head!,2022-04-05,60185,2169,400.0,,
TEN HAG Faces LATE POCH Manager Race! Man Utd News,2022-04-05,142961,4227,543.0,,
Ten Hag Deal Close! Man Utd News,2022-04-04,117384,2866,195.0,,
Players TURN On RANGNICK Again! Man Utd News,2022-04-04,174486,5974,681.0,,
RANGNICK Demands TEN HAG Appointment! Man Utd News,2022-04-04,136648,4314,316.0,,
RANGNICK On His Way Out? TEN HAG Latest! Man Utd News,2022-04-03,152292,3868,433.0,,
TEN HAG BIG Transfer Plans! Man Utd News,2022-04-03,176367,5569,639.0,,
RANGNICK TACTICS IGNORED! Manchester United 1-1 Leicester City | MARK'S FAN VLOG,2022-04-02,19155,365,115.0,1.0,1.0
END UNITED'S SEASON NOW! Manchester United 1-1 Leicester City | LANDAN'S FAN VLOG,2022-04-02,13271,234,32.0,1.0,1.0
UNITED'S SEASON FINISHED! Manchester United 1-1 Leicester City | JAMEEL'S FAN VLOG,2022-04-02,8342,207,25.0,1.0,1.0
UNITED STANDARDS IN THE MUD! Manchester United 1-1 Leicester City | GRAHAM'S FAN VLOG,2022-04-02,9855,207,29.0,1.0,1.0
SEASON IS DUSTED! Manchester United 1-1 Leicester City | LIVE Fan's Forum,2022-04-02,103574,2211,246.0,1.0,1.0
RASHFORD LOOKS LOST! Manchester United 1-1 Leicester City | BETH'S FAN VLOG,2022-04-02,32342,667,122.0,1.0,1.0
WON'T MAKE CONFERENCE LEAGUE! Manchester United 1-1 Leicester City | ADAM'S FAN VLOG,2022-04-02,36431,787,172.0,1.0,1.0
GOLDBRIDGE! MANCHESTER UNITED 1-1 LEICESTER Match Reaction,2022-04-02,311556,7883,926.0,1.0,1.0
MANCHESTER UNITED vs LEICESTER LIVE GOLDBRIDGE Watchalong!,2022-04-02,451695,7423,231.0,,
MAN UNITED RESURGENCE! Manchester United vs Leicester City | Adam’s Road Trip,2022-04-02,45708,1427,177.0,,
TEN HAG Reveals UNITED Interest! Man Utd News,2022-04-01,142589,4173,201.0,,
RANGNICK PRESS CONFERENCE REACTION! MANCHESTER UNITED vs LEICESTER CITY,2022-04-01,71493,2002,149.0,,
TEN HAG NO 1 Choice! PSG Offer POCH for FREE! Man Utd News,2022-04-01,144758,4340,427.0,,
United Interview Poch! Ten Hag Still Favourite! Man Utd News,2022-03-31,84004,2091,212.0,,
MAN UTD vs LEICESTER! RANGNICK To DROP Stars,2022-03-31,115286,3603,247.0,,
UNITED BID for Declan RICE! TEN HAG Latest! Man Utd News,2022-03-31,139906,4120,381.0,,
UNITED Agree TEN HAG Exit Fee? Man Utd News,2022-03-30,208839,5941,366.0,,
POCH Job Fear! NUNEZ Transfer Blow! Man Utd News,2022-03-30,102536,3084,303.0,,
POCH New FAVOURITE! MAGUIRE Booed! Man Utd News,2022-03-30,109820,3153,268.0,,
Poch vs Ten Hag Power Struggle! Man Utd News,2022-03-29,64935,1738,167.0,,
TEN HAG UNITED's Favourite! Man Utd News,2022-03-29,138439,4355,465.0,,
ENRIQUE Job Offer? TEN HAG'S First TRANSER! Man Utd News,2022-03-29,110287,3585,514.0,,
POCH Stops TEN HAG Appointment! Man Utd News,2022-03-28,157506,4480,486.0,,
POCH United Meeting! TEN HAG Deal Close? FABRIZIO ROMANO Man Utd News,2022-03-28,147406,5224,271.0,,
ENRIQUE Manager Talks! KANE United's Priority Transfer! Man Utd News,2022-03-28,122057,3526,493.0,,
TEN HAG Decision Time! Man Utd News,2022-03-27,121134,3017,273.0,,
