title,date,views,likes,comments,team_score,opponent_score
Zaha Is Going To Get Ugly & Tierney Deal Moves Closer! | AFTV Transfer Daily,2019-07-04,182297,3900.0,1950,,
What Is Zaha Really Worth & Should We Sign Cahill?  | Claude & Ty Show,2019-07-03,85712,1764.0,751,,
"BLUD BRUVVAS - DT Forms His Own Team!! (Series 1, EP 5 PG RATED VERSION)",2019-07-03,48653,841.0,124,,
Atlético Want Lacazette & Palace Angry Over Arsenal Zaha Bid! | AFTV Transfer Daily,2019-07-03,171181,3313.0,1406,,
Welcome To Arsenal Gabriel Martinelli! 🇧🇷,2019-07-02,172379,4402.0,1306,,
"BLUD BRUVVAS - BACK AGAIN!! Troopz Returns (Series 1, EP 4 PG RATED VERSION)",2019-07-02,28311,518.0,69,,
Opening Bid Made For Zaha & Nabil Fekir Offered To Arsenal | AFTV Transfer Daily,2019-07-02,176116,3598.0,1504,,
Arsenal Have A Lot Of Deadwood That Need To Be Shipped Out!! (Curtis),2019-07-01,49212,1101.0,283,,
"We're All Mugs, Where Are The Signings? (Heavy D)",2019-07-01,165479,2707.0,940,,
The New Arsenal Pre Match Kit By Adidas Unboxed!,2019-07-01,82397,1747.0,368,,
Young Gunz Frank Takes On The AFC Skill Zone Tekkers Challenge!,2019-07-01,20324,517.0,48,,
Fans Protest Against Arsenal Owner Stan Kroenke At Kit Launch! Ft Turkish,2019-07-01,322436,7729.0,2678,,
The New Arsenal Home Kit By Adidas Unboxed!,2019-07-01,183613,4633.0,943,,
"BLUD BRUVVAS - It All Kicks Off! DT Sees Red Vs Mark Goldbridge!  (Series 1, EP 3 PG RATED VERSION)",2019-07-01,41822,749.0,177,,
Tierney Deal Agreed & Porto Star In Talks With Arsenal | AFTV Transfer Daily,2019-07-01,179412,3558.0,1118,,
"BLUD BRUVVAS - Robbie Makes Decision on DT's Son! (Series 1, EP 2 PG RATED VERSION)",2019-06-30,48996,859.0,122,,
Palace Demand Ridiculous £100m for Zaha & Danish Star Linked! | AFTV Transfer Daily,2019-06-30,154630,3081.0,1810,,
"BLUD BRUVVAS - The Journey Begins! (Series 1, EP 1 PG RATED VERSION)",2019-06-29,71528,1845.0,237,,
Zaha Pleads With Palace To Let Him Join Arsenal! | AFTV Transfer Daily,2019-06-29,178750,3964.0,2137,,
(MAGA) Make Arsenal Great Again!!! | All Gunz Blazing Podcast Ft DT,2019-06-28,178074,3529.0,1199,,
Fenerbahçe Want Mustafi & Price Named For Dunk! | AFTV Transfer Daily,2019-06-28,128153,3368.0,1250,,
The Lionesses Have Been Amazing! | England Vs Norway Preview (Women's World Cup) Ft Faye White,2019-06-27,8227,240.0,43,,
Arsenal Identify New CB Targets & Zaha Alternative! | AFTV Transfer Daily,2019-06-27,133690,2693.0,1298,,
Stop Lying About Torreira & Lingard Gets Hammered! | Biased Premier League Show,2019-06-26,155692,3572.0,1117,,
Will New Signing Be Unveiled In The Arsenal Adidas Kit? | AFTV Transfer Daily,2019-06-26,147542,3116.0,1136,,
Torreira Must Stay At Arsenal & VAR Is A Disgrace! | Claude & Ty Show,2019-06-25,65977,1374.0,458,,
Approach Made For Bailly & Could MKH Sale Fund Zaha Move? | AFTV Transfer Daily,2019-06-25,143903,2988.0,1370,,
1 MILLION! - The Best Of AFTV Compilation,2019-06-24,202913,8864.0,846,,
Emery Asks Board To Fund Zaha Transfer & 2nd Bid For Tierney! | AFTV Transfer Daily,2019-06-24,157504,4879.0,1577,,
ONE MILLION SUBSCRIBERS! THANK YOU,2019-06-23,257940,10126.0,2059,,
Arsenal's Adidas Deal Has Nothing To Do With Our Transfer Activity! | All Guns Blazing Podcast ft DT,2019-06-22,192775,3566.0,1232,,
NO CHANCE!! Celtic Reject Arsenal's Low Tierney Bid | AFTV Transfer Daily,2019-06-22,113571,2537.0,1356,,
Does Ozil Still Have Something To Offer? | I'm A Mad Gooner Ft Single Yellow Rose Organisation,2019-06-21,54830,1155.0,307,,
Which Centre Back Is Joining Arsenal? | AFTV Transfer Daily,2019-06-21,113944,2704.0,1310,,
New Contract For Auba? & Ljungberg Must Have Some Authority At Arsenal! | Claude & Ty Show,2019-06-20,70934,1239.0,588,,
Kieran Tierney Bid Imminent & Arsenal Find Ramsey Replacement! | AFTV Transfer Daily,2019-06-20,137926,3017.0,1201,,
WTF! Man Utd Want Aubameyang & Athletico Want Xhaka! | AFTV Transfer Daily,2019-06-19,148938,3188.0,2065,,
William Saliba Agrees Five Year Deal With Arsenal | AFTV Transfer Daily,2019-06-17,207221,4065.0,1765,,
Arsenal Make To Make 3rd Bid For Alexis & Neres Wanted! | AFTV Transfer Daily,2019-06-16,139499,3353.0,1498,,
Is Unai Emery Under Unfair Pressure? | All Guns Blazing Podcast ft DT,2019-06-15,208699,3626.0,1310,,
Ajax Name Their Price For Arsenal Target Hakim Ziyech! | AFTV Transfer Daily,2019-06-15,143709,3392.0,1727,,
Carrasco or Fraser? Plus Arsenal On Verge Of First Summer Signing! | AFTV Transfer Daily,2019-06-14,136368,2743.0,1959,,
Arsenal In Advanced Talks With William Saliba! | AFTV Transfer Daily,2019-06-13,129459,2786.0,1307,,
"Is It ""Time To Go!"" For These Arsenal Players?  | Claude & Ty Show",2019-06-12,114344,2299.0,954,,
£25m To Get Carrasco Done & Milan Want Torreira! | AFTV Transfer Daily,2019-06-12,159543,3677.0,1404,,
"Sell, Sell, Sell Xhaka, Ozil & Micky!!! | Biased Premier League Show ft Troopz",2019-06-11,222205,4497.0,1324,,
I'm Not Going Anywhere says Xhaka & Could Arsenal Be Back For Perišić? | AFTV Transfer Daily,2019-06-11,126409,2544.0,1332,,
Arsenal Make Approach For Ramsey Replacement & Is Xhaka Off To Inter? | AFTV Transfer Daily,2019-06-10,154892,3041.0,1256,,
Arsenal vs Spurs For Top Midfield Targets Kessié & Ünder ! | AFTV Transfer Daily,2019-06-09,131436,3029.0,1213,,
